web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaine
1692657749-7557,01/05/2023,30/09/2023,01/10/2023,113,113,Chambre Lits Jumeaux,,Ax Hôtel Spa & Restaurant,Chorges,,39
1692657749-7558,01/05/2023,30/09/2023,01/10/2023,97,97,Chambre Double Standard,,ibis Gap Centre,Gap,,39
1692657749-7559,01/05/2023,30/09/2023,01/10/2023,46,46,Chambre Triple,,Auberge du prieure,Saint-André-de-Rosans,,39
1692657749-7560,01/05/2023,30/09/2023,01/10/2023,160,160,Chambre Double - Vue sur Montagne,,Hôtel Vauban Briançon Serre Chevalier,Briançon,,39
1692657749-7561,01/05/2023,30/09/2023,01/10/2023,96,96,Chambre Double,,Chalet de Lanza,Abriès,,39
1692657749-7562,01/05/2023,30/09/2023,01/10/2023,143,143,Chambre Lit King-Size,,Logis Hotel-Restaurant Spa Le Lac,Embrun,,39
1692657749-7566,01/05/2023,30/09/2023,01/10/2023,44,44,Chambre Triple,,Premiere Classe Toulouse Sud Labege,Labège,,39
1692657749-7567,01/05/2023,30/09/2023,01/10/2023,80,80,Chambre Double,,Hôtel Restaurant du Lauragais LOGIS DE FRANCE,Villefranche-de-Lauragais,,39
1692657749-7568,01/05/2023,30/09/2023,01/10/2023,49,49,Chambre Triple avec 1 Lit Double et 1 Lit Simple,,Premiere Classe Toulouse Sud - Portet,Portet-sur-Garonne,,39
1692657749-7569,01/05/2023,30/09/2023,01/10/2023,66,66,Chambre Double Classique,,Relais Fasthotel Port Lauragais,Avignonet-de-Lauragais,,39
1692657749-7570,01/05/2023,30/09/2023,01/10/2023,117,117,Chambre Double,,"The Originals Access, Hôtel Innostar",Labège,,39
1692657749-7591,01/05/2023,30/09/2023,01/10/2023,44,44,Chambre Triple,,Premiere Classe Toulouse Sud Labege,Labège,,39
1692657749-7592,01/05/2023,30/09/2023,01/10/2023,80,80,Chambre Double,,Hôtel Restaurant du Lauragais LOGIS DE FRANCE,Villefranche-de-Lauragais,,39
1692657749-7593,01/05/2023,30/09/2023,01/10/2023,49,49,Chambre Triple avec 1 Lit Double et 1 Lit Simple,,Premiere Classe Toulouse Sud - Portet,Portet-sur-Garonne,,39
1692657749-7594,01/05/2023,30/09/2023,01/10/2023,66,66,Chambre Double Classique,,Relais Fasthotel Port Lauragais,Avignonet-de-Lauragais,,39
1692657749-7595,01/05/2023,30/09/2023,01/10/2023,117,117,Chambre Double,,"The Originals Access, Hôtel Innostar",Labège,,39
1692657749-7616,01/05/2023,30/09/2023,01/10/2023,44,44,Chambre Triple,,Premiere Classe Toulouse Sud Labege,Labège,,39
1692657749-7617,01/05/2023,30/09/2023,01/10/2023,80,80,Chambre Double,,Hôtel Restaurant du Lauragais LOGIS DE FRANCE,Villefranche-de-Lauragais,,39
1692657749-7618,01/05/2023,30/09/2023,01/10/2023,49,49,Chambre Triple avec 1 Lit Double et 1 Lit Simple,,Premiere Classe Toulouse Sud - Portet,Portet-sur-Garonne,,39
1692657749-7619,01/05/2023,30/09/2023,01/10/2023,66,66,Chambre Double Classique,,Relais Fasthotel Port Lauragais,Avignonet-de-Lauragais,,39
1692657749-7620,01/05/2023,30/09/2023,01/10/2023,117,117,Chambre Double,,"The Originals Access, Hôtel Innostar",Labège,,39
1692657749-7641,01/05/2023,30/09/2023,01/10/2023,44,44,Chambre Triple,,Premiere Classe Toulouse Sud Labege,Labège,,39
1692657749-7642,01/05/2023,30/09/2023,01/10/2023,80,80,Chambre Double,,Hôtel Restaurant du Lauragais LOGIS DE FRANCE,Villefranche-de-Lauragais,,39
1692657749-7643,01/05/2023,30/09/2023,01/10/2023,49,49,Chambre Triple avec 1 Lit Double et 1 Lit Simple,,Premiere Classe Toulouse Sud - Portet,Portet-sur-Garonne,,39
1692657749-7644,01/05/2023,30/09/2023,01/10/2023,66,66,Chambre Double Classique,,Relais Fasthotel Port Lauragais,Avignonet-de-Lauragais,,39
1692657749-7645,01/05/2023,30/09/2023,01/10/2023,117,117,Chambre Double,,"The Originals Access, Hôtel Innostar",Labège,,39
1692657749-7666,01/05/2023,30/09/2023,01/10/2023,44,44,Chambre Triple,,Premiere Classe Toulouse Sud Labege,Labège,,39
1692657749-7667,01/05/2023,30/09/2023,01/10/2023,80,80,Chambre Double,,Hôtel Restaurant du Lauragais LOGIS DE FRANCE,Villefranche-de-Lauragais,,39
1692657749-7668,01/05/2023,30/09/2023,01/10/2023,49,49,Chambre Triple avec 1 Lit Double et 1 Lit Simple,,Premiere Classe Toulouse Sud - Portet,Portet-sur-Garonne,,39
1692657749-7669,01/05/2023,30/09/2023,01/10/2023,66,66,Chambre Double Classique,,Relais Fasthotel Port Lauragais,Avignonet-de-Lauragais,,39
1692657749-7670,01/05/2023,30/09/2023,01/10/2023,117,117,Chambre Double,,"The Originals Access, Hôtel Innostar",Labège,,39
1692657749-7691,01/05/2023,30/09/2023,01/10/2023,44,44,Chambre Triple,,Premiere Classe Toulouse Sud Labege,Labège,,39
1692657749-7692,01/05/2023,30/09/2023,01/10/2023,80,80,Chambre Double,,Hôtel Restaurant du Lauragais LOGIS DE FRANCE,Villefranche-de-Lauragais,,39
1692657749-7693,01/05/2023,30/09/2023,01/10/2023,49,49,Chambre Triple avec 1 Lit Double et 1 Lit Simple,,Premiere Classe Toulouse Sud - Portet,Portet-sur-Garonne,,39
1692657749-7694,01/05/2023,30/09/2023,01/10/2023,66,66,Chambre Double Classique,,Relais Fasthotel Port Lauragais,Avignonet-de-Lauragais,,39
1692657749-7695,01/05/2023,30/09/2023,01/10/2023,117,117,Chambre Double,,"The Originals Access, Hôtel Innostar",Labège,,39
1692657749-7716,01/05/2023,30/09/2023,01/10/2023,62,62,Chambre Double Économique,,Hôtel Restaurant Le Bellevue,Ax-les-Thermes,,39
1692657749-7717,01/05/2023,30/09/2023,01/10/2023,58,58,Chambre Double Standard,,Brit Hotel Confort Foix,Foix,,39
1692657749-7718,01/05/2023,30/09/2023,01/10/2023,83,83,Chambre Double Supérieure,,Hôtel Pyrène,Foix,,39
1692657749-7719,01/05/2023,30/09/2023,01/10/2023,42,42,Chambre Triple,,Hôtel Premiere Classe Pamiers,Pamiers,,39
1692657749-7720,01/05/2023,30/09/2023,01/10/2023,42,42,Chambre Double Basique,,Hôtel de la Paix,Luzenac,,39
1692657749-7721,01/05/2023,30/09/2023,01/10/2023,112,112,Chambre Double Prestige,,Hôtel Le Chalet,Ax-les-Thermes,,39
1692657749-7722,01/05/2023,30/09/2023,01/10/2023,69,69,Chambre Lits Jumeaux,,"The Originals Access, Hôtel Foix (P'tit Dej-Hotel)",Foix,,39
1692657749-7723,01/05/2023,30/09/2023,01/10/2023,53,53,Chambre Double,,Auberge du Haut Salat,Seix,,39
1692657749-7724,01/05/2023,30/09/2023,01/10/2023,117,117,Suite Traditionnelle,,Hotel Logis - Chateau de Beauregard,Saint-Girons,,39
1692657749-7725,01/05/2023,30/09/2023,01/10/2023,46,46,Chambre Double Supérieure,,Auberge des Deux Rivières,Seix,,39
1692657749-7726,01/05/2023,30/09/2023,01/10/2023,67,67,Chambre Double Standard,,Hôtel Confort 09 ou HC-09,Tarascon-sur-Ariège,,39
1692657749-7741,01/05/2023,30/09/2023,01/10/2023,62,62,Chambre Double Économique,,Hôtel Restaurant Le Bellevue,Ax-les-Thermes,,39
1692657749-7742,01/05/2023,30/09/2023,01/10/2023,58,58,Chambre Double Standard,,Brit Hotel Confort Foix,Foix,,39
1692657749-7743,01/05/2023,30/09/2023,01/10/2023,83,83,Chambre Double Supérieure,,Hôtel Pyrène,Foix,,39
1692657749-7744,01/05/2023,30/09/2023,01/10/2023,42,42,Chambre Triple,,Hôtel Premiere Classe Pamiers,Pamiers,,39
1692657749-7745,01/05/2023,30/09/2023,01/10/2023,42,42,Chambre Double Basique,,Hôtel de la Paix,Luzenac,,39
1692657749-7746,01/05/2023,30/09/2023,01/10/2023,112,112,Chambre Double Prestige,,Hôtel Le Chalet,Ax-les-Thermes,,39
1692657749-7747,01/05/2023,30/09/2023,01/10/2023,69,69,Chambre Lits Jumeaux,,"The Originals Access, Hôtel Foix (P'tit Dej-Hotel)",Foix,,39
1692657749-7748,01/05/2023,30/09/2023,01/10/2023,53,53,Chambre Double,,Auberge du Haut Salat,Seix,,39
1692657749-7749,01/05/2023,30/09/2023,01/10/2023,117,117,Suite Traditionnelle,,Hotel Logis - Chateau de Beauregard,Saint-Girons,,39
1692657749-7750,01/05/2023,30/09/2023,01/10/2023,46,46,Chambre Double Supérieure,,Auberge des Deux Rivières,Seix,,39
1692657749-7751,01/05/2023,30/09/2023,01/10/2023,67,67,Chambre Double Standard,,Hôtel Confort 09 ou HC-09,Tarascon-sur-Ariège,,39
1692657749-7766,01/05/2023,30/09/2023,01/10/2023,106,106,Chambre Double avec Douche - Côté Rue - 1er ou 2ème Étage,,Hôtel la Bona Casa,Collioure,,39
1692657749-7767,01/05/2023,30/09/2023,01/10/2023,47,47,Chambre Triple (1 Lit Double et 1 Lit Simple),,Premiere Classe Perpignan Sud,Perpignan,,39
1692657749-7768,01/05/2023,30/09/2023,01/10/2023,55,55,Chambre Double Standard avec Lit Superposé,,Ibis Budget Perpignan Nord Rivesaltes,Rivesaltes,,39
1692657749-7769,01/05/2023,30/09/2023,01/10/2023,79,79,Chambre Double ou Lits Jumeaux,,Hotel Restaurant L'Espassole,Thuir,,39
1692657749-7770,01/05/2023,30/09/2023,01/10/2023,76,76,Chambre Lits Jumeaux Économique,,L'Oree du Bois,Font-Romeu,,39
1692657749-7771,01/05/2023,30/09/2023,01/10/2023,69,69,Chambre Double,,Hotel de la Plage - Barcares,Le Barcarès,,39
1692657749-7772,01/05/2023,30/09/2023,01/10/2023,130,130,Chambre Lits Jumeaux - Vue sur Mer,,Le Catalan,Banyuls-sur-Mer,,39
1692657749-7773,01/05/2023,30/09/2023,01/10/2023,115,115,Chambre Double avec Fenêtre - Vue sur Mer,,Hotel La Vigie - Face à la mer,Cerbère,,39
1692657749-7774,01/05/2023,30/09/2023,01/10/2023,291,291,Chambre Double - Vue sur Mer,,Les Roches Brunes,Collioure,,39
1692657749-7775,01/05/2023,30/09/2023,01/10/2023,56,56,Chambre Double,,HOTEL LE PESCADOU,"Argeles Plage, Argelès-sur-Mer",,39
1692657749-7776,01/05/2023,30/09/2023,01/10/2023,67,67,Petite Chambre Double,,Hotel La Casa,Le Barcarès,,39
1692657749-7777,01/05/2023,30/09/2023,01/10/2023,78,78,Chambre Standard sans Balcon,,Hotel Princess,Vernet-les-Bains,,39
1692657749-7778,01/05/2023,30/09/2023,01/10/2023,51,51,Chambre Double,,Première Classe Perpignan Nord,Rivesaltes,,39
1692657749-7779,01/05/2023,30/09/2023,01/10/2023,154,154,Chambre Double Standard,,La Frégate,Collioure,,39
1692657749-7780,01/05/2023,30/09/2023,01/10/2023,64,64,Chambre Double ou Lits Jumeaux Standard,,Hôtel Acajou,Argelès-sur-Mer,,39
1692657749-7781,01/05/2023,30/09/2023,01/10/2023,115,115,Chambre Double,,Hôtel Les Sables - Urban Style,Canet-en-Roussillon,,39
1692657749-7782,01/05/2023,30/09/2023,01/10/2023,72,72,Chambre Double Économique,,"The Originals City, Relax'Otel & Spa, Le Barcarès",Le Barcarès,,39
1692657749-7783,01/05/2023,30/09/2023,01/10/2023,77,77,Chambre Double Standard,,Hotel Vidal,Céret,,39
1692657749-7784,01/05/2023,30/09/2023,01/10/2023,87,87,Chambre Double Côté Nord avec Douche,,Hotel des Pyrénées,Font-Romeu,,39
1692657749-7785,01/05/2023,30/09/2023,01/10/2023,72,72,Chambre Double Économique,,Hotel Sur Le Quai,Port-Vendres,,39
1692657749-7786,01/05/2023,30/09/2023,01/10/2023,86,86,Chambre Double ou Lits Jumeaux Standard,,Hotel Le Clos Cerdan,Mont-Louis,,39
1692657749-7787,01/05/2023,30/09/2023,01/10/2023,80,80,Chambre Lits Jumeaux Confort avec Climatisation,,Hotel De La Mer,Le Barcarès,,39
1692657749-7788,01/05/2023,30/09/2023,01/10/2023,37,37,Chambre Double Économique,,"Hébergements à La Rive, Accueil ouvert tous les jours jusqu'à 20h00 dernier délai, depuis 30 ans ! Réserver ici svp ! Merci ! Aucun règlement à distance accepté, Paiement par CB, Espèces, Chèque ou Chèques-Vacances impérativement à la remise des clefs !",Amélie-les-Bains-Palalda,,39
1692657749-7789,01/05/2023,30/09/2023,01/10/2023,68,68,Chambre Double Standard,,B&B HOTEL Perpignan Sud Marché International,Perpignan,,39
1692657749-7790,01/05/2023,30/09/2023,01/10/2023,63,63,Chambre Double Économique avec Ventilateur,,Les Mimosas,"Argeles Plage, Argelès-sur-Mer",,39
1692657749-7791,01/05/2023,30/09/2023,01/10/2023,106,106,Chambre Double avec Douche - Côté Rue - 1er ou 2ème Étage,,Hôtel la Bona Casa,Collioure,,39
1692657749-7792,01/05/2023,30/09/2023,01/10/2023,47,47,Chambre Triple (1 Lit Double et 1 Lit Simple),,Premiere Classe Perpignan Sud,Perpignan,,39
1692657749-7793,01/05/2023,30/09/2023,01/10/2023,55,55,Chambre Double Standard avec Lit Superposé,,Ibis Budget Perpignan Nord Rivesaltes,Rivesaltes,,39
1692657749-7794,01/05/2023,30/09/2023,01/10/2023,79,79,Chambre Double ou Lits Jumeaux,,Hotel Restaurant L'Espassole,Thuir,,39
1692657749-7795,01/05/2023,30/09/2023,01/10/2023,76,76,Chambre Lits Jumeaux Économique,,L'Oree du Bois,Font-Romeu,,39
1692657749-7796,01/05/2023,30/09/2023,01/10/2023,69,69,Chambre Double,,Hotel de la Plage - Barcares,Le Barcarès,,39
1692657749-7797,01/05/2023,30/09/2023,01/10/2023,130,130,Chambre Lits Jumeaux - Vue sur Mer,,Le Catalan,Banyuls-sur-Mer,,39
1692657749-7798,01/05/2023,30/09/2023,01/10/2023,115,115,Chambre Double avec Fenêtre - Vue sur Mer,,Hotel La Vigie - Face à la mer,Cerbère,,39
1692657749-7799,01/05/2023,30/09/2023,01/10/2023,291,291,Chambre Double - Vue sur Mer,,Les Roches Brunes,Collioure,,39
1692657749-7800,01/05/2023,30/09/2023,01/10/2023,56,56,Chambre Double,,HOTEL LE PESCADOU,"Argeles Plage, Argelès-sur-Mer",,39
1692657749-7801,01/05/2023,30/09/2023,01/10/2023,67,67,Petite Chambre Double,,Hotel La Casa,Le Barcarès,,39
1692657749-7802,01/05/2023,30/09/2023,01/10/2023,78,78,Chambre Standard sans Balcon,,Hotel Princess,Vernet-les-Bains,,39
1692657749-7803,01/05/2023,30/09/2023,01/10/2023,51,51,Chambre Double,,Première Classe Perpignan Nord,Rivesaltes,,39
1692657749-7804,01/05/2023,30/09/2023,01/10/2023,154,154,Chambre Double Standard,,La Frégate,Collioure,,39
1692657749-7805,01/05/2023,30/09/2023,01/10/2023,64,64,Chambre Double ou Lits Jumeaux Standard,,Hôtel Acajou,Argelès-sur-Mer,,39
1692657749-7806,01/05/2023,30/09/2023,01/10/2023,115,115,Chambre Double,,Hôtel Les Sables - Urban Style,Canet-en-Roussillon,,39
1692657749-7807,01/05/2023,30/09/2023,01/10/2023,72,72,Chambre Double Économique,,"The Originals City, Relax'Otel & Spa, Le Barcarès",Le Barcarès,,39
1692657749-7808,01/05/2023,30/09/2023,01/10/2023,77,77,Chambre Double Standard,,Hotel Vidal,Céret,,39
1692657749-7809,01/05/2023,30/09/2023,01/10/2023,87,87,Chambre Double Côté Nord avec Douche,,Hotel des Pyrénées,Font-Romeu,,39
1692657749-7810,01/05/2023,30/09/2023,01/10/2023,72,72,Chambre Double Économique,,Hotel Sur Le Quai,Port-Vendres,,39
1692657749-7811,01/05/2023,30/09/2023,01/10/2023,86,86,Chambre Double ou Lits Jumeaux Standard,,Hotel Le Clos Cerdan,Mont-Louis,,39
1692657749-7812,01/05/2023,30/09/2023,01/10/2023,80,80,Chambre Lits Jumeaux Confort avec Climatisation,,Hotel De La Mer,Le Barcarès,,39
1692657749-7813,01/05/2023,30/09/2023,01/10/2023,37,37,Chambre Double Économique,,"Hébergements à La Rive, Accueil ouvert tous les jours jusqu'à 20h00 dernier délai, depuis 30 ans ! Réserver ici svp ! Merci ! Aucun règlement à distance accepté, Paiement par CB, Espèces, Chèque ou Chèques-Vacances impérativement à la remise des clefs !",Amélie-les-Bains-Palalda,,39
1692657749-7814,01/05/2023,30/09/2023,01/10/2023,68,68,Chambre Double Standard,,B&B HOTEL Perpignan Sud Marché International,Perpignan,,39
1692657749-7815,01/05/2023,30/09/2023,01/10/2023,63,63,Chambre Double Économique avec Ventilateur,,Les Mimosas,"Argeles Plage, Argelès-sur-Mer",,39
1692657749-7816,01/05/2023,30/09/2023,01/10/2023,106,106,Chambre Double avec Douche - Côté Rue - 1er ou 2ème Étage,,Hôtel la Bona Casa,Collioure,,39
1692657749-7817,01/05/2023,30/09/2023,01/10/2023,47,47,Chambre Triple (1 Lit Double et 1 Lit Simple),,Premiere Classe Perpignan Sud,Perpignan,,39
1692657749-7818,01/05/2023,30/09/2023,01/10/2023,55,55,Chambre Double Standard avec Lit Superposé,,Ibis Budget Perpignan Nord Rivesaltes,Rivesaltes,,39
1692657749-7819,01/05/2023,30/09/2023,01/10/2023,79,79,Chambre Double ou Lits Jumeaux,,Hotel Restaurant L'Espassole,Thuir,,39
1692657749-7820,01/05/2023,30/09/2023,01/10/2023,76,76,Chambre Lits Jumeaux Économique,,L'Oree du Bois,Font-Romeu,,39
1692657749-7821,01/05/2023,30/09/2023,01/10/2023,69,69,Chambre Double,,Hotel de la Plage - Barcares,Le Barcarès,,39
1692657749-7822,01/05/2023,30/09/2023,01/10/2023,130,130,Chambre Lits Jumeaux - Vue sur Mer,,Le Catalan,Banyuls-sur-Mer,,39
1692657749-7823,01/05/2023,30/09/2023,01/10/2023,115,115,Chambre Double avec Fenêtre - Vue sur Mer,,Hotel La Vigie - Face à la mer,Cerbère,,39
1692657749-7824,01/05/2023,30/09/2023,01/10/2023,291,291,Chambre Double - Vue sur Mer,,Les Roches Brunes,Collioure,,39
1692657749-7825,01/05/2023,30/09/2023,01/10/2023,56,56,Chambre Double,,HOTEL LE PESCADOU,"Argeles Plage, Argelès-sur-Mer",,39
1692657749-7826,01/05/2023,30/09/2023,01/10/2023,67,67,Petite Chambre Double,,Hotel La Casa,Le Barcarès,,39
1692657749-7827,01/05/2023,30/09/2023,01/10/2023,78,78,Chambre Standard sans Balcon,,Hotel Princess,Vernet-les-Bains,,39
1692657749-7828,01/05/2023,30/09/2023,01/10/2023,51,51,Chambre Double,,Première Classe Perpignan Nord,Rivesaltes,,39
1692657749-7829,01/05/2023,30/09/2023,01/10/2023,154,154,Chambre Double Standard,,La Frégate,Collioure,,39
1692657749-7830,01/05/2023,30/09/2023,01/10/2023,64,64,Chambre Double ou Lits Jumeaux Standard,,Hôtel Acajou,Argelès-sur-Mer,,39
1692657749-7831,01/05/2023,30/09/2023,01/10/2023,115,115,Chambre Double,,Hôtel Les Sables - Urban Style,Canet-en-Roussillon,,39
1692657749-7832,01/05/2023,30/09/2023,01/10/2023,72,72,Chambre Double Économique,,"The Originals City, Relax'Otel & Spa, Le Barcarès",Le Barcarès,,39
1692657749-7833,01/05/2023,30/09/2023,01/10/2023,77,77,Chambre Double Standard,,Hotel Vidal,Céret,,39
1692657749-7834,01/05/2023,30/09/2023,01/10/2023,87,87,Chambre Double Côté Nord avec Douche,,Hotel des Pyrénées,Font-Romeu,,39
1692657749-7835,01/05/2023,30/09/2023,01/10/2023,72,72,Chambre Double Économique,,Hotel Sur Le Quai,Port-Vendres,,39
1692657749-7836,01/05/2023,30/09/2023,01/10/2023,86,86,Chambre Double ou Lits Jumeaux Standard,,Hotel Le Clos Cerdan,Mont-Louis,,39
1692657749-7837,01/05/2023,30/09/2023,01/10/2023,80,80,Chambre Lits Jumeaux Confort avec Climatisation,,Hotel De La Mer,Le Barcarès,,39
1692657749-7838,01/05/2023,30/09/2023,01/10/2023,37,37,Chambre Double Économique,,"Hébergements à La Rive, Accueil ouvert tous les jours jusqu'à 20h00 dernier délai, depuis 30 ans ! Réserver ici svp ! Merci ! Aucun règlement à distance accepté, Paiement par CB, Espèces, Chèque ou Chèques-Vacances impérativement à la remise des clefs !",Amélie-les-Bains-Palalda,,39
1692657749-7839,01/05/2023,30/09/2023,01/10/2023,68,68,Chambre Double Standard,,B&B HOTEL Perpignan Sud Marché International,Perpignan,,39
1692657749-7840,01/05/2023,30/09/2023,01/10/2023,63,63,Chambre Double Économique avec Ventilateur,,Les Mimosas,"Argeles Plage, Argelès-sur-Mer",,39
1692657749-7841,01/05/2023,30/09/2023,01/10/2023,106,106,Chambre Double avec Douche - Côté Rue - 1er ou 2ème Étage,,Hôtel la Bona Casa,Collioure,,39
1692657749-7842,01/05/2023,30/09/2023,01/10/2023,47,47,Chambre Triple (1 Lit Double et 1 Lit Simple),,Premiere Classe Perpignan Sud,Perpignan,,39
1692657749-7843,01/05/2023,30/09/2023,01/10/2023,55,55,Chambre Double Standard avec Lit Superposé,,Ibis Budget Perpignan Nord Rivesaltes,Rivesaltes,,39
1692657749-7844,01/05/2023,30/09/2023,01/10/2023,79,79,Chambre Double ou Lits Jumeaux,,Hotel Restaurant L'Espassole,Thuir,,39
1692657749-7845,01/05/2023,30/09/2023,01/10/2023,76,76,Chambre Lits Jumeaux Économique,,L'Oree du Bois,Font-Romeu,,39
1692657749-7846,01/05/2023,30/09/2023,01/10/2023,69,69,Chambre Double,,Hotel de la Plage - Barcares,Le Barcarès,,39
1692657749-7847,01/05/2023,30/09/2023,01/10/2023,130,130,Chambre Lits Jumeaux - Vue sur Mer,,Le Catalan,Banyuls-sur-Mer,,39
1692657749-7848,01/05/2023,30/09/2023,01/10/2023,115,115,Chambre Double avec Fenêtre - Vue sur Mer,,Hotel La Vigie - Face à la mer,Cerbère,,39
1692657749-7849,01/05/2023,30/09/2023,01/10/2023,291,291,Chambre Double - Vue sur Mer,,Les Roches Brunes,Collioure,,39
1692657749-7850,01/05/2023,30/09/2023,01/10/2023,56,56,Chambre Double,,HOTEL LE PESCADOU,"Argeles Plage, Argelès-sur-Mer",,39
1692657749-7851,01/05/2023,30/09/2023,01/10/2023,67,67,Petite Chambre Double,,Hotel La Casa,Le Barcarès,,39
1692657749-7852,01/05/2023,30/09/2023,01/10/2023,78,78,Chambre Standard sans Balcon,,Hotel Princess,Vernet-les-Bains,,39
1692657749-7853,01/05/2023,30/09/2023,01/10/2023,51,51,Chambre Double,,Première Classe Perpignan Nord,Rivesaltes,,39
1692657749-7854,01/05/2023,30/09/2023,01/10/2023,154,154,Chambre Double Standard,,La Frégate,Collioure,,39
1692657749-7855,01/05/2023,30/09/2023,01/10/2023,64,64,Chambre Double ou Lits Jumeaux Standard,,Hôtel Acajou,Argelès-sur-Mer,,39
1692657749-7856,01/05/2023,30/09/2023,01/10/2023,115,115,Chambre Double,,Hôtel Les Sables - Urban Style,Canet-en-Roussillon,,39
1692657749-7857,01/05/2023,30/09/2023,01/10/2023,72,72,Chambre Double Économique,,"The Originals City, Relax'Otel & Spa, Le Barcarès",Le Barcarès,,39
1692657749-7858,01/05/2023,30/09/2023,01/10/2023,77,77,Chambre Double Standard,,Hotel Vidal,Céret,,39
1692657749-7859,01/05/2023,30/09/2023,01/10/2023,87,87,Chambre Double Côté Nord avec Douche,,Hotel des Pyrénées,Font-Romeu,,39
1692657749-7860,01/05/2023,30/09/2023,01/10/2023,72,72,Chambre Double Économique,,Hotel Sur Le Quai,Port-Vendres,,39
1692657749-7861,01/05/2023,30/09/2023,01/10/2023,86,86,Chambre Double ou Lits Jumeaux Standard,,Hotel Le Clos Cerdan,Mont-Louis,,39
1692657749-7862,01/05/2023,30/09/2023,01/10/2023,80,80,Chambre Lits Jumeaux Confort avec Climatisation,,Hotel De La Mer,Le Barcarès,,39
1692657749-7863,01/05/2023,30/09/2023,01/10/2023,37,37,Chambre Double Économique,,"Hébergements à La Rive, Accueil ouvert tous les jours jusqu'à 20h00 dernier délai, depuis 30 ans ! Réserver ici svp ! Merci ! Aucun règlement à distance accepté, Paiement par CB, Espèces, Chèque ou Chèques-Vacances impérativement à la remise des clefs !",Amélie-les-Bains-Palalda,,39
1692657749-7864,01/05/2023,30/09/2023,01/10/2023,68,68,Chambre Double Standard,,B&B HOTEL Perpignan Sud Marché International,Perpignan,,39
1692657749-7865,01/05/2023,30/09/2023,01/10/2023,63,63,Chambre Double Économique avec Ventilateur,,Les Mimosas,"Argeles Plage, Argelès-sur-Mer",,39
1692657749-7866,01/05/2023,30/09/2023,01/10/2023,106,106,Chambre Double avec Douche - Côté Rue - 1er ou 2ème Étage,,Hôtel la Bona Casa,Collioure,,39
1692657749-7867,01/05/2023,30/09/2023,01/10/2023,47,47,Chambre Triple (1 Lit Double et 1 Lit Simple),,Premiere Classe Perpignan Sud,Perpignan,,39
1692657749-7868,01/05/2023,30/09/2023,01/10/2023,55,55,Chambre Double Standard avec Lit Superposé,,Ibis Budget Perpignan Nord Rivesaltes,Rivesaltes,,39
1692657749-7869,01/05/2023,30/09/2023,01/10/2023,79,79,Chambre Double ou Lits Jumeaux,,Hotel Restaurant L'Espassole,Thuir,,39
1692657749-7870,01/05/2023,30/09/2023,01/10/2023,76,76,Chambre Lits Jumeaux Économique,,L'Oree du Bois,Font-Romeu,,39
1692657749-7871,01/05/2023,30/09/2023,01/10/2023,69,69,Chambre Double,,Hotel de la Plage - Barcares,Le Barcarès,,39
1692657749-7872,01/05/2023,30/09/2023,01/10/2023,130,130,Chambre Lits Jumeaux - Vue sur Mer,,Le Catalan,Banyuls-sur-Mer,,39
1692657749-7873,01/05/2023,30/09/2023,01/10/2023,115,115,Chambre Double avec Fenêtre - Vue sur Mer,,Hotel La Vigie - Face à la mer,Cerbère,,39
1692657749-7874,01/05/2023,30/09/2023,01/10/2023,291,291,Chambre Double - Vue sur Mer,,Les Roches Brunes,Collioure,,39
1692657749-7875,01/05/2023,30/09/2023,01/10/2023,56,56,Chambre Double,,HOTEL LE PESCADOU,"Argeles Plage, Argelès-sur-Mer",,39
1692657749-7876,01/05/2023,30/09/2023,01/10/2023,67,67,Petite Chambre Double,,Hotel La Casa,Le Barcarès,,39
1692657749-7877,01/05/2023,30/09/2023,01/10/2023,78,78,Chambre Standard sans Balcon,,Hotel Princess,Vernet-les-Bains,,39
1692657749-7878,01/05/2023,30/09/2023,01/10/2023,51,51,Chambre Double,,Première Classe Perpignan Nord,Rivesaltes,,39
1692657749-7879,01/05/2023,30/09/2023,01/10/2023,154,154,Chambre Double Standard,,La Frégate,Collioure,,39
1692657749-7880,01/05/2023,30/09/2023,01/10/2023,64,64,Chambre Double ou Lits Jumeaux Standard,,Hôtel Acajou,Argelès-sur-Mer,,39
1692657749-7881,01/05/2023,30/09/2023,01/10/2023,115,115,Chambre Double,,Hôtel Les Sables - Urban Style,Canet-en-Roussillon,,39
1692657749-7882,01/05/2023,30/09/2023,01/10/2023,72,72,Chambre Double Économique,,"The Originals City, Relax'Otel & Spa, Le Barcarès",Le Barcarès,,39
1692657749-7883,01/05/2023,30/09/2023,01/10/2023,77,77,Chambre Double Standard,,Hotel Vidal,Céret,,39
1692657749-7884,01/05/2023,30/09/2023,01/10/2023,87,87,Chambre Double Côté Nord avec Douche,,Hotel des Pyrénées,Font-Romeu,,39
1692657749-7885,01/05/2023,30/09/2023,01/10/2023,72,72,Chambre Double Économique,,Hotel Sur Le Quai,Port-Vendres,,39
1692657749-7886,01/05/2023,30/09/2023,01/10/2023,86,86,Chambre Double ou Lits Jumeaux Standard,,Hotel Le Clos Cerdan,Mont-Louis,,39
1692657749-7887,01/05/2023,30/09/2023,01/10/2023,80,80,Chambre Lits Jumeaux Confort avec Climatisation,,Hotel De La Mer,Le Barcarès,,39
